Hviezdičky,Miesto,Adresa,Text,Datum
5,Parkovací dům Rooseveltova - JD Parking,"Rooseveltova 711, 602 00 Brno-střed","Parkovací dům mi byl doporučen a byla jsem spokojená. Dobře označeno, dobrý vjezd, standardní šíře uliček bez ""rantlů"". Pohodlné parkování, dobrá interní navigace. Schody čisté, výtah funkční. Dobrá pozice parkoviště pro pěší toulky Brnem.  Platba cash i kartou.",2024-12-16
5,Hrad Špilberk,"Špilberk 210/1, 662 24 Brno","Hrad Špilberk, oblíbené místo s hradbami, výhledem na Brno, parkem, klikatýma cestičkama. Kousek od centra. Dochozí pěšky. Historické místo s nádvořím, kde žije i kultura. Lze tu navštívit muzeum. Jen bylo dost matoucí,  kde si koupit vstupenku na prohlídku a kde vstupenku na výstavu....",2024-12-16
5,Park Hradu Špilberk,"Špilberk 1, 602 00 Brno-střed",Krásně upravený park Hradu Špilberk. V tento adventní čas je nazdoben tisíci světýlky.,2024-12-16
2,Hotel Lake Hill Resort & Spa w Karkonoszach,"Tyrolska 2 G, 58-564 Sosnówka, Polsko","Krásný,  moderní hotel s nápadem.
Úžasný výhled na Krkonoše,  Sněžku.
Prostorné pokoje,  velké parkovací možnosti. Snídaně opulentní. Obsluha milá,  usměvavá. Podzimní okolí kouzlilo s barvama.
...ale
V názvu  je Hotel a Spa. Spa je minimální v porovnání s kapacitou hotelu a za mě naprosto neadekvátní. Vnitřní studený bazén a dvě vířivky a sauna, nepovažuji za spa, které by mělo lákat spokojené klienty. Proto za mě jen dvě hvězdičky a tak trochu zklamání z víkendového pobytu.",2024-11-16
5,Prince Henryk Castle,"58-500 Staniszów, Polsko","Krásná, krátká a nenáročná procházka. U zámku odpočívadlo. Vstup je 10 zł a můžete platit i v Kč či v €. Krásné výhledy na krajinu.",2024-11-16
4,Hrad Chojnik,"Zamek Chojnik, 58-570 Jelenia Góra, Polsko","Parkování v městečku Chojnik a pak už jen stoupat za zážitkem. První platba vás čeká pod lesem, vstup do národního parku za 10 zł. Dál pokračujete a můžete se rozhodnout pro dvě trasy. Černá strmá, kratší. Červená delší a po kočičích hlavách s dvěma odpočívadly. Dojdete k hradu a čeká na vás druhá platba, vstupné za 15 zł. U hradu je i restaurace, toaleta, jídlo a pití. A nezapomínejme na ty výhledy...",2024-11-16
5,Kobe Grill House,"plac Ratuszowy 39, 58-500 Jelenia Góra, Polsko","Toto místo překvapilo hned několika věcmi.  Centrální posezení na náměstí. Zahrádka v podloubí a výhled na historické náměstí. Výborný výběr z jídel ale i z piva. Jejich ovocná piva, zejména malinová v ledem ojíněných sklenících super. Saláty pestré,  burgry šťavnaté, žebra v krustě překvapivá. Polévky krémové, lasagne výborné.  Opravdu gastro zážitek!  A jejich toalety opravdu nevšední až kýčovitě šokující, ale zážitkové....",2024-11-16
5,U Dostrašilů,"Stradov 1, 403 39 Chlumec u Ústí nad Labem",Příjemné a klidné posezení s přáteli u pivka.,2024-11-16
5,Restaurant Větruše,"Fibichova 392/25, 400 01 Ústí nad Labem-město","Z centra dojedete lanovou dráhou nebo můžete vyrazit na krátký strmý výšlap. Obě varianty vyzkoušeny a procházka při naší návštěvě získala více bodů. K restauraci dojedete i vozem. Restaurace byla plná,  ale obsluha našla místo i pro nás.  Jejich domácí limonáda byla opravdu skvělá. Žádná voda se šťávou... Kvituji.  Svíčková byla také velmi dobrá. Minutky na jedničku.  Výběr vín skvělý. Interiér trochu připomínal staré a kýčovité časy,  ale ve finále se zde člověk cítil velmi dobře.",2024-11-16
5,Stanice lanovky Vetruše - OC Forum,"Fibichova 392/25, 400 01 Ústí nad Labem-centrum",Vše funkční a praktické. Nástupní stanice z parkovací plochy OC Fórum. Pohodlně a rychle v pravidelných intervalech.,2024-11-16
4,FORUM Liberec,"Nám. Soukenné 2a, 460 01 Liberec","Obchodní centrum je v samém srdci Liberce. Na ploše najdete základní služby, módu, kosmetiku, obchod s potravinami. Samozřejmě i zábavu - kino, dětský koutek, dílničky. Pak se tu i najíte ve food courtu, s přáteli můžete posedět v několika kavárnách. Parkování je zajištěno v dostatečném množství v parkovacím domě. Nově můžete zajít na bowling.",2024-11-16
5,Restaurace Studánecký Medvěd,"Hejnická 77, 463 21 Liberec-Krásná Studánka","Navštíveno po dlouhé době a hned dvakrát a příjemné překvapení. Parkovat lze před a za restaurací. Příjemná zahrádka. Přes obědy plno, ale místo se našlo. Menu v pohodě, jídla chutná a cenově OK. Toalety čisté.",2024-09-17
5,LEVNÉ KOBERCE A PVC LIBEREC,"Dukelská 252/6, 460 06 Liberec","Výběr koberců a lin za rozumné ceny. Obsluha umí poradit a je vstřícná. Po objednávce koberce z metráže nařezala, nachystala a nechala u sebe dva dny uskladněno. Pomoc do auta byla vítána.  Děkuji.",2024-09-17
5,Restaurace U Medvěda,"1, Svojsíkova 705, 460 01 Liberec","Přijali jsme pozvání na malou soukromou oslavu dole ve vinárně. Hezké posezení s profesionální obsluhou. Dobrá vína,  příjemná atmosféra.",2024-09-17
5,Clarion Grandhotel Zlatý Lev,"3, Gutenbergova 126, 460 01 Liberec","Je to i místo na obchodní jednání.  Kavárna, salónek. Rychlá,  milá, efektivní návštěva. Parkování u hotelu, nebo v dosahu.",2024-09-17
5,Bistro Široká,"Široká 164/14, 460 01 Liberec-Nové Město","Bistro Široká mě příjemně překvapilo. Sezení venku, uvnitř. Příjemná obsluha, standardní nabídka káv a dezertů. Denní menu - výběr ok a chutné. Spokojenost.",2024-09-17
5,Restaurace U Letců,"Jana Černého 109/14, 503 41 Hradec Králové 7-Věkoše","Příjemná zahrádka a restaurace s rychlou obsluhou. Přes léto hudební večery.  Líbí a vždy když jsme v Hradci, jezdíme sem.",2024-09-17
5,Hrad Grabštejn,"Grabštejn 21, 463 34 Hrádek nad Nisou",Cesta na Grabštejn ze všech směrů dobře značená. Parkoviště zdarma v horní části. Vstupenka k zakoupení na pokladně. Občerstvení zajištěno v kavárně MEHL caffé. Nově otevřen design obchod a galerie Glass & Crafts.,2024-08-18
5,Bratislavský hrad,"Hrad, 811 06 Bratislava, Slovensko","Krásné, turisticky oblíbené místo. Dojít se sem dá za pár minut z centra.  A to dvěmi trasami. Buď napřímo, nebo můžete jít podél Dunaje a pak zahnout do ul. Strmá cesta. Delší, o to krásnější... Hrad nabízí krásné vyhlídky na celé město Brratislava. Dále krásnou zahradu, obchůdek se suvenýry. Občerstvíte se tu. Za poslední dva měsíce místo navštívené dvakrát a pokaždé jen ten nejlepší dojem v nás zanechal.",2024-08-18
4,Aqualand Moravia,"Pasohlávky č. ev. 110, 691 22 Pasohlávky","Slunný všední den nás nalákal do Aqualandu. Parkování-místo se našlo, cena přijatelná.  Vstupenka zakoupena elektronicky-něco jsme ušetřili. U pokladny jsme nemuseli stát. V shopu jsme si zapůjčili ručníky-cena, mohla být přívětivější, ale ok. Skříňky a systém jako na jiných místech.  A pak, a pak se nám otevřel vodní ráj!  Bylo to fajn. Kvituji dostatek lehátek po celém areálu. Fronty se daly ukočírovat. Tam, kde byly mega dlouhé, nešli jsme.  Ale finálně jsme vyzkoušeli vše-venku i uvnitř. Byl to fajn den. Jediná naše výtka byla bohužel k cenám za občerstvení.",2024-08-18
5,Restaurace Tatran Bílý Kostel nad Nisou,"Bílý Kostel nad Nisou 184, 463 31 Bílý Kostel nad Nisou","Restaurace s teráskou a vše na pohodu. Žádný stres. Pivo jako říz, dobře chlazené.",2024-08-18
4,Restaurace U Draka,"Liliová 11, 466 01 Jablonec nad Nisou 1","Dobrá rychlá kuchyně. Výběr z hotovek. Lidská a vtipná obsluha. Toalety čisté. Interiér,  kde se zastavil čas. Parkování před restaurací. Doporučuji.",2024-06-19
5,Dohoda Beer House,"Biskupská 6, 602 00 Brno-střed",Vkládám jen foto. Dům nás zaujal. Má i historický podtext. Do Dohody bohužel nebyl čas vejít.  Snad příště...,2024-06-19
5,Pomník obětem,602 00 střed,"Krásné, klidné místo s lavičkami. Vybízí k odpočinku, zastavení, relaxu.",2024-06-19
5,Kostel Nalezení svatého Kříže,"Kapucínské nám. 303/5, 602 00 Brno-město",Krátká zastávka u kostela. Průvodkyně poutavě opět vyprávěla histrorii Kapucínů.  Jednoduchá architektura kostelů se propisuje celým řádem po celé Evropě. Kostel byste měli vždy a všude poznat.  Naproti příjemná kavárnička.,2024-06-19
5,Stará radnice,"Radnická 8, 602 00 Brno-střed",Brno střed a radnice. Pověsti o brněnském draku a o brněnském kole - zajímavé. Radnice je krásná a průchozí. Hned vedle je Informační centrum.,2024-06-19
5,Lhotsky studio,"Pelechov 56, 468 22 Železný Brod","Studio je místem zrodu jedinečných děl, technologií. Realizují se zde návrhy českých i zahraničních umělců.",2024-06-19
5,Katedrála svatých Petra a Pavla,"Petrov 9, 602 00 Brno 2",Okruh historickým centrem Brna stojí za to a výšlap až sem se vyplatí. Poutavý výklad naší paní průvodkyně na jedničku. Katedrála nádherná a zvony se rozezní už v 11 hodin. Ve všední den a mimo sezónu máte parádní výhledy.,2024-06-19
5,Jean Paul's Restaurant Zelný trh,"Zelný trh 20, 602 00 Brno-střed","Rychlá zastávka u mini stolečku u restaurace. Fajn posezení, osvěžující sklenka vína a výhled na Zelňák.",2024-06-19
5,Pivovarský dům Poupě,"Dominikánská 342, 602 00 Brno-střed","Jako větší skupina jsme měli rezervaci a předvybraná jídla z menu. Vše fungovalo, vše rychle na stole. Jídlo dobré. Nápoje též. Obsluha v pohodě.",2024-06-19
5,Intimissimi Uomo,"Chorzowska 109A, 40-101 Katowice, Polsko",Dnes zajímavé slevy. Super nakupování. Velmi milý personál.,2025-05-15
5,Penzion Hamštejn,"2, Hamštejn, 468 22 Koberovy",Na penzion jsme narazili v rámci procházky/výletu. Zastávka to byla příjemná. Posezení na zastřešené zahrádce. Obsluhovala sama paní majitelka. Oběd byl dobrý. Pivo také. Není co vytknout. Děkujeme.,2025-05-15
5,Cinema City Silesia,"Silesia City Center, Chorzowska 107, 40-101 Katowice, Polsko",Super místo. Parkoviště zajištěno. Občerstvení také.  Vše standard jako jinde.,2025-05-15
5,Wagon Wina,"Rycerska 5, 41-902 Bytom, Polsko","Mohu jen potvrdit. Dobrá pizza, kterou si můžete poskládat dle vlastní chutě. Výborná domácí limonáda. Možná bych ubrala na množství ledu. Špenatová krémová polévka taky bez chyby. Sezení venku ve vagónu,  dobrý nápad. Uvnitř interiér také překvapivý,  toalety v pořádku.",2025-05-15
5,Vlastivědné muzeum a galerie,"Muzejní 181/181, 507 13 Železnice","Velmi krásné, malebné muzeum, které je vedle kostela a kousek od náměstí. Zaparkujete před muzeem, zakoupíte vstupenku a můžete vyrazit na prohlídku s velmi milou průvodkyní. Uvidíte archeologii, acháty, školní třídu a vedle roubenku. Vlastně dvě. Doporučuji.",2025-05-15
5,AUTOMOTO MUSEUM na cestě,"Lučany nad Nisou 568, 468 71 Lučany nad Nisou","Krásné zrekonstruované místo - sklárna, která slouží klenotům a unikátům z minuleho století. Vůni benzínu tu rozhodně potkáte!  Přijedete na parkoviště před muzeum, zdarma. Vstoupíte na recepci/pokladnu a zakoupíte lístek. Vejdete dál,  stoupáte po schodech a otevře se vám patro plné motoristických zážitků, historie,  příběhů. Krásné. Za nás by mohlo být více exponátů, ale své raritní kousky tu najdete.  Dole od recepce vpravo si můžete zajít do Kavárny.  Lahodná káva, zákusek či zmrzka vás určitě nemine.",2025-05-15
5,Rozhledna Hamštejn,"Hamštejn, 468 22 Koberovy-Železný Brod","Rozhledna roku 2023. Krásná, s kapacitou pro 15 osob. Ale je jen na vaší osobní zodpovědnosti, zda počítáte či nikoliv. Lze dojít pěšky z Kozákova. Nebo lze zaparkovat  na parkovišti pod rozhlednou a pak strmou cestou k rozhledně.  Nebo kousek po silnici po červené a pak prašnou cestou ""oklikou"" na rozhlednu.  Vystoupáte po 121 schodech a jako odměna se vám otevře krajina. Ještěd,  Bezděz, Ralsko, Trosky, Krkonoše... Na ruku či do deníku si můžete dát razítko. Chyběli mi tu možná popisky, na co koukám. Jinak super výletní místo!",2025-05-15
4,Skleněná stezka,"Brniště 4, 471 29 Brniště","Nová turistická stezka o skle a sklářství.
Vede od parkoviště na okraji obce přes náves ke Schröterově kapli. Odtud je krásný výhled na Lužické hory. V Brništi můžete navštívit i stezku Sochy ve skalách a Stezku Hastrmanů. Neuděláte chybu, když se stavíte v kavárně Jako doma.",2025-05-15
5,Zauhlovačka,"Rumburská, Vratislavice nad Nisou, 463 11","Zauhlovací a vodárenská věž a spolek AvantgArt, který dělá maximum, aby věž zachránil a vrátil ji zpět. Zpět ke kulturnímu a společenskému životu. A daří se jim to. Zauhlovačka postupně ožívá pro prohlídky,  koncerty, přednášky, festivaly, divadélka pro děti, dílny, workshopy. Místo má své kouzlo. Dojedete sem autem, tramvají nebo dojdete pěšky. V rámci pořádaných akcí je zajištěno občerstvení ke koupi. Vstupenku koupíte na místě, nebo v předprodeji.",2025-05-15
5,Milchbar Görlitz - Fam. Otto,"Strandpromenade 63, 02827 Görlitz, Německo","Příjemný bar na cyklostezce s posezením a výhledem na Berzdorfer See. Nápoje, zmrzka, wurst. Ve všední dny více klídek. O víkendu už nabito.",2025-05-15
5,Klášter Marienthal,"St. Marienthal 1, 02899 Ostritz, Německo","Krásné místo, klášter, na cyklostezce kolem Odry. Příjemná zastávka. V areálu pojízdný stánek s občerstvením.",2025-05-15
5,Restaurace Ještěd,"Horní Hanychov 153, 460 08 Liberec",Zamluven salónek pro skupinu 9 osob a splnil naše veškerá očekávání. Obsluha i kuchyň výborná. Káva a dezert super. Soukromí zajištěno a toaleta hned vedle salónku.  Prošli jsme přes restauraci a retro baru. Výhled k nezaplacení a atmosféra neopakovatelná. Děkujeme!,2025-05-15
5,Kulturní centrum VRATISLAVICE 101010,"Nad Školou 1675, 463 11 Liberec 30-Vratislavice nad Nisou","Prostor variabilní a nabízí uspořádat kulturní a společenské akce, ale i soukromé besedy a eventy. Vybavenost ok. Technické řešení ok. Toalety ok. Parkování s problemem. Málo parkovacích míst. Dostupnost však perfektní. V dosahu tramvajová zastávka.",2025-05-15
5,Muzeum skla a bižuterie v Jablonci nad Nisou,"U Muzea 398, 466 01 Jablonec nad Nisou 1","Muzeum nabízí krásné sbírky skla, bižuterie a také expozici vánočních ozdob. Pestrá kombinace pro návštevníka, který se rozhodně nebude nudit. V nové přístavbě - obřím krystalu - naleznete vždy nějakou aktuální výstavu designu, skla apod.... Projdete i Pelantovým schodištěm.",2025-05-15
5,Muzeum Českého ráje v Turnově,"Skálova 71, 511 01 Turnov 1","Muzeum v centru města s možností parkování v přilehlých ulicích. Zajímavé vstupné a v rámci akcí Křišťálového údolí vstupné většinou zdarma. Muzeum má stálé expozice (horolezectví, drahékameny, šperky), ale i pořádá výstavy, vernisáže, křty, přednášky apod. Poslední akce křest knihy pana Jiřího Urbana. Muzeum žije. Je krásné. Doporučuji.",2025-05-15
5,Messe Berlin,"Messedamm 22, 14055 Berlin, Německo","Velké výstaviště, na které se bez problému dostanete metrem. Kolem výstaviště i mnoho parkovacích míst. V areálu během výstavy dostatečný počet občerstvení, velký výběr, pestrost. Areál rozsáhlý. Info pointy v každém přechodovém místě.",2025-05-15
4,Cafe Bar Praha (Liberec),"nám. Dr. E. Beneše 2/20, 460 01 Liberec-Nové Město","Vhodné místo na pracovní schůzku. Káva dobrá, servis průměr.",2025-05-15
5,FofrKafe - Benešák,"nám. Dr. E. Beneše 13/16, 460 01 Liberec","Příjemná kavárna na náměstí. Sezení uvnitř a létem i venku. Fajn obsluha. Dobrá nabídka sendvičů, dezertů a kávy.",2025-05-15
5,Bystro design,"Prácheň 234, 471 14 Kamenický Šenov","Studio vzniklo v roce 2005. Autorská tvorba se nejen zaměřuje na šperky, vlastní design skla a interiérového skla. Ateliér jsme navštívili v rámci Velikonoc v Křišťálovém údolí a mohli jsme nahlédnout pod ruce obou dvou autorů. Mohli jsme si i vyrobit skleněného brouka. Ke studiu/ateliéru dojedete autem a necháte jej na příjezdové cestě.",2025-05-15
5,Novotný Glass Studio,"T. G. Masaryka 805, 473 01 Nový Bor","Sklárnu a výstavní prostory jsme navštívili v rámci Velikonoc v Křišťálovém údolí. Vstup byl zdarma. Ale i tak je vstupné během roku dostupné. Pokud byste chtěli vyzkoušet foukáni skla, je potřeba mít rezervaci.
V restauraci bylo plno. Parkování před vstupem do restaurace - dostatečné. Hezký zážitek.",2025-05-15
5,Sklářské muzeum Nový Bor (Glass Museum),"nám. Míru 105, 473 01 Nový Bor",Krásné sklářské muzeum s trvalými exponáty ve dvou patrech. V dolní zadní části se exponáty mění. Viděli jsme výstavu Pavla Hlavy. Parkování na náměstí nebo v boční uličce pod muzeem.  Personál milý a podal veškeré informace a zodpověděl nejednu všetečnou otázku. Doporučil i navštívení dalších menších sklářů a šperkařů v přilehlé oblasti.,2025-05-15
5,Korálkárna Nový Bor,"B. Egermanna 11, 473 01 Nový Bor","Dobře vybavená prodejna s korálky pro všechny šikuly, profíky i začátečníky. Ochotně a mile poradí s výběrem. Prodejna v prvním patře, parkování zdarma před prodejnou. Mohl by být lépe označen vjezd z hlavní silnice.",2025-05-15
5,"Oblastní galerie Liberec, příspěvková organizace","Masarykova 723/14, 460 01 Liberec","Budova bývalých městských lázní - současná Oblastní galerie - čítá unikátní sbírky evropského umění. V budově i nově kavárna, kterou otevřela liberecká pražírna Nordbeans. Parkování v přilehlých ulicích.",2025-05-15
4,PVA EXPO PRAHA,"Beranových 667, 199 00 Praha 9","Navštíveno v areálu Expo výstava HOLIDAY WORLD & REGION WORLD, která byla poměrně dobře zastoupena. Bylo se na co dívat a inspirovat se. Po celém areálu dostatek občerstvovacích míst. Bohužel příjezd k areálu tragický, parkování také. Parkovací plocha byla ale dostatečná. Část šotolovina, část tráva. Pršelo a přesun z parkoviště do areálu nebyl příjemný. Výjezd z parkoviště opět v šílené frontě. Je potřeba se obrnit.",2025-05-15
5,Restaurace a kavárna Centrum,"Dvorská 458/26, 460 05 Liberec","Milé překvapení! Jídlo velmi chutné. A ceny přívětivé. Studenti velmi mladí a pohotoví. Restaurace opravdu zaplněna. Parkování před centrem, také obsazené.",2025-05-15
4,Nákupní centrum Géčko Liberec,"Sousedská 599, 460 01 Liberec","Nákupní centrum nabízí velké parkoviště, několik vstupů do pasáži. Výběr obchodních jednotek je průměrný. Velkým tahákem je Globus a jídelna.",2025-05-15
3,Costa Coffee,"Chlumecká 765/6, 190 00 Praha 9-Černý Most","Costa Coffee zde nepatří k mým favoritům. Moc otevřené na pasáži. Obsluha se střídá,  tak jako její nálada. Kvalita kávy a zákusků však v pořádku. K odpočinku po náročných nákupech v CČM je místo ok.",2025-05-15
3,Nike,"Fashion Arena Outlet Center, Zamenhofova 440, 108 00 Praha-Štěrboholy",Velký výběr zboží. Velká prodejní plocha. Velký pohyb osob. Nevýhoda-dlouhé fronty před kabinkami.  Pokladny frčí všechny. Celkový dojem docela dobrý.,2025-05-15
5,MOL,"Horní Počernice Praha 9 - Horní Počernice CZ, Novopacká 2464, 193 00 Praha 9",MOL čerpací stanice - zastávka při delších i kratších cestách. Toalety vždy v pořádku. Ranní snídaně na jedničku. Milá obsluha co poradí.,2025-05-15
4,McDonald's,"Bratří Bendů 803, 294 71 Benátky nad Jizerou 1","Rychlá zastávka na trase Praha-LBC. Vše standard, ničím nepřekvapí. Ale lepší než sjíždět v Ml.Boleslavi.",2025-05-15
5,Kostel Povýšení sv. Kříže,"Kunratice u Cvikova 403, 471 55 Kunratice u Cvikova",Empírový kostel je trojlodní obdélníkovou stavbou s průčelní věží a čtvercovým presbytářem. V průčelí kostela je středový rizalit a trojúhelníkový štít. A nachází se zde český unikát – Boží hrob z křišťálu! Navíc uvnitř kostela jsou umístěny další skleněné objekty z dílny Jiřího Pačinka.  Parkování je před kostelem nebo u sklářské hutě.,2025-05-15
5,PAČINEK GLASS,"Kunratice u Cvikova 147, 471 55 Kunratice u Cvikova","Sklárna patří k významným tvůrcům uměleckého skla, vyráběného tradiční technikou foukání a ručního tvarování. Nabízí exkurze, firemní eventy u pece - vyzkoušet foukání skla. V krámku je možnost nákupu skleněných výrobků. Skleněná zahrada skýtá nádherné pohledy a záznamy do vašich fotohledáčků. K dispozici je i otevřený krytý kiosek s občerstvením. A hned naproti se nachází Křišťálový chrám. Parkování je hned u sklárny a zdarma.",2025-05-15
5,Kostel svaté Anny,464 01 Dětřichov-Frýdlant v Čechách,"V Dětřichově u Frýdlantu byla 18. 11. 2023 požehnána Křížová cesta smíření při Kostele sv. Anny.

Čtrnáct zastavení v podobě skleněných plastik navrhl a vytvořil sklář Josef Novotný ze sklárny Spider Glass v Heřmanicích u Frýdlantu v Křišťálovém údolí. Skleněné plastiky jsou umístěné na původních pískovcových podstavcích, kde byla v minulém století malovaná křížová cest. Ta už na svém místě od roku 1935 není.",2025-05-15
5,Spider Glass Heřmanice,463 31 Heřmanice-Frýdlant v Čechách,"Sklářský ateliér u hranic s Polskem. Nachází se u silnice, dobře viditelné. Prohlídka po telefonické domluvě. Provede vás sám majitel. V dolním patře je dílna/výrobna. Nahoře se pak nachází výstavní prostory. A také je tu ke shlédnutí Betlém Evy Pártlové.",2025-05-15
5,Regionální muzeum a galerie Jičín,"Valdštejnovo nám. 1, 506 01 Jičín 1","Zámecká galerie nabízí prostory k výstavám a ke klidnému prožitku. Z náměstí projdete na zadní nádvoří a vstupenku si zakoupíte přímo v galerii. Zažijete zde jak umělecké výstavy, tak i muzejní výstavy.",2025-05-15
5,Turistické informační centrum - v Domě Jany a Josefa V. Scheybalových,"Kostelní 1/6, 466 01 Jablonec nad Nisou 1","Informační centrum se nachází naproti kostelu sv. Anny. Milý personál podá veškeré informace a doporučí, kam v JBC za zážitkem. Velmi přehledně zpracovaný web. V íčku je galerie a také se tu pořádají akce pro děti.",2025-05-15
4,KNL Restaurace – Krajský úřad,"U Jezu 642/2a, 460 01 Liberec-Perštýn",Restaurace KÚ dobré umístění v centru LBC. Dochozí vzdálenost ok. Bezbariérový přístup. Nabídka menšího rozsahu.,2025-05-15
